class,Age,Fare,Pclass,Sex,SibSp,Parch,Embarked
0,9,13,1,0,1,0,0
1,12,14,1,1,0,0,1
1,13,4,3,0,0,0,0
0,13,11,1,0,0,0,0
1,0,10,2,0,1,1,0
1,4,14,1,1,3,2,0
0,9,7,2,0,0,0,0
0,5,7,2,0,0,0,0
0,11,7,2,0,0,0,0
1,4,7,2,1,0,0,0
1,12,7,2,1,0,0,0
1,9,8,3,1,1,0,0
1,0,8,3,0,1,1,0
0,12,5,3,0,0,0,0
0,4,5,3,0,0,0,0
0,9,11,1,0,0,0,0
0,1,1,3,0,1,1,1
0,5,8,3,0,1,0,0
0,9,0,3,0,0,0,1
0,9,5,3,0,0,0,0
1,3,12,1,1,0,1,0
0,12,7,2,1,0,0,0
1,9,3,3,1,0,0,2
1,9,3,3,1,0,0,2
0,12,10,3,0,1,4,0
0,9,10,2,0,1,0,1
0,13,7,3,1,0,1,1
0,11,0,3,0,0,0,0
0,9,7,3,0,1,0,2
0,9,1,3,0,0,0,0
1,14,13,1,1,1,0,1
1,9,1,3,1,0,0,1
1,9,2,3,1,0,0,2
1,4,13,1,1,0,0,1
1,5,12,1,0,1,0,1
0,2,0,3,0,1,0,0
0,2,4,3,0,0,0,0
0,3,14,1,0,0,0,1
0,0,8,3,1,3,1,0
1,9,13,1,1,1,0,1
1,3,1,3,1,0,0,0
0,5,14,1,0,0,2,1
0,3,0,3,0,0,0,1
0,2,2,3,0,0,0,0
1,12,14,1,1,0,0,1
1,0,8,3,1,0,2,1
0,10,4,3,0,0,0,0
1,11,12,1,1,1,0,0
0,9,3,3,0,0,0,0
0,2,13,2,0,0,0,0
0,0,12,3,0,5,2,0
1,11,7,2,1,0,0,0
0,9,1,3,0,0,0,2
1,1,6,2,1,0,0,1
1,11,14,1,0,1,2,0
1,3,2,3,0,0,0,0
0,9,4,3,0,2,0,0
1,4,14,1,1,1,0,1
1,4,8,3,1,0,2,0
0,3,2,3,0,0,0,0
0,10,3,3,1,0,0,0
0,13,10,2,0,0,0,0
0,4,6,2,0,0,0,0
1,9,6,2,1,0,0,0
1,12,4,3,0,0,0,0
0,5,4,3,0,0,0,0
0,3,5,3,1,1,0,0
0,9,8,3,0,1,0,0
0,3,5,3,1,0,0,0
0,11,8,2,0,1,0,0
0,14,2,3,0,0,0,0
1,0,8,2,0,1,1,0
0,3,2,3,0,0,0,0
0,9,9,3,1,3,1,0
0,9,3,3,0,0,0,0
0,9,0,3,0,0,0,2
1,10,14,1,1,1,0,2
0,9,0,2,0,0,0,0
1,13,4,3,0,0,0,0
0,9,4,3,1,0,0,0
1,11,11,2,1,1,1,0
1,2,7,2,1,0,2,0
0,9,7,2,0,0,0,0
0,1,9,3,1,0,2,0
0,9,3,3,0,0,0,1
0,3,1,3,0,0,0,2
0,9,3,3,0,0,0,0
0,9,7,3,1,1,1,0
0,2,8,3,0,1,1,0
0,9,1,3,0,0,0,0
1,9,10,2,1,1,0,0
1,2,10,2,1,0,0,0
0,9,2,3,0,0,0,2
1,10,4,3,0,0,0,0
1,9,10,1,0,0,0,0
1,9,8,3,1,1,0,0
1,12,10,2,1,1,0,0
0,1,0,3,0,0,0,0
0,13,12,1,0,1,0,0
1,1,14,1,1,1,2,0
0,3,11,3,1,2,2,0
1,4,8,2,1,2,3,0
0,14,14,1,0,1,4,0
0,10,6,2,0,0,0,0
1,13,10,2,1,1,1,0
0,3,5,3,0,0,0,0
0,5,2,3,0,1,0,0
1,9,7,2,1,0,0,0
1,9,4,3,0,0,0,0
1,0,13,1,0,0,2,0
1,1,8,2,1,0,1,0
1,11,10,1,0,0,0,0
1,0,8,3,1,2,1,1
1,14,11,1,0,0,0,0
0,11,10,2,0,1,2,0
0,9,8,3,0,1,0,0
0,9,10,1,0,0,0,1
1,13,13,1,0,1,0,1
0,9,4,3,0,0,0,0
1,9,3,3,0,0,0,1
0,14,10,1,0,0,0,0
1,9,12,1,1,1,0,0
1,13,6,2,1,0,0,0
0,9,2,3,0,0,0,2
1,13,10,1,0,0,0,0
0,11,4,3,0,0,0,0
0,13,11,1,0,0,0,0
0,13,7,2,0,0,0,0
0,9,4,3,0,0,0,0
0,12,0,3,0,0,0,0
0,9,0,2,0,0,0,0
0,14,10,1,0,0,0,0
0,9,1,3,0,0,0,2
1,0,8,3,1,2,1,1
0,9,1,3,0,0,0,0
0,12,5,3,0,0,0,0
1,10,10,2,1,1,2,0
1,4,7,2,1,0,0,1
0,3,5,3,1,0,0,0
0,9,12,1,0,0,0,0
0,11,8,2,0,1,0,0
0,9,0,3,0,1,0,0
0,3,1,3,0,0,0,0
1,0,6,3,1,0,1,0
0,1,12,3,0,5,2,0
0,9,0,2,0,0,0,0
0,13,4,3,0,0,0,0
1,14,5,3,1,0,0,0
1,5,14,1,0,1,0,1
0,9,9,3,1,3,1,0
1,11,14,1,1,1,0,0
0,14,10,1,0,0,0,1
0,9,4,3,0,0,0,0
1,1,8,3,0,1,1,0
0,9,8,3,0,1,0,0
0,3,1,3,0,0,0,0
0,14,11,1,0,0,0,0
0,14,12,1,0,0,0,1
0,3,4,3,0,0,0,0
0,9,7,3,0,0,0,1
1,14,13,1,1,1,0,1
0,9,7,3,0,0,0,0
0,5,14,1,1,1,2,0
0,4,2,3,0,0,0,0
0,1,5,3,0,0,0,0
0,3,2,3,1,0,0,2
0,9,1,3,1,0,0,2
0,11,5,3,1,0,0,0
1,1,13,1,1,0,0,0
0,2,14,1,0,1,0,1
1,10,10,2,1,0,2,0
1,9,10,1,0,0,0,0
0,9,9,3,0,0,0,0
1,5,12,3,0,0,0,0
1,9,2,3,0,0,0,2
0,9,4,3,0,0,0,0
1,11,10,1,0,0,0,0
1,14,12,1,1,1,0,1
0,4,1,3,0,0,0,0
0,13,11,1,0,0,0,0
1,11,6,2,1,0,0,0
0,9,9,3,0,0,0,2
1,11,10,2,1,1,0,0
0,10,3,3,0,0,0,0
1,9,14,1,1,0,0,0
0,3,3,3,0,0,0,0
0,9,0,3,0,0,0,1
1,13,12,1,1,0,1,1
0,9,1,3,0,0,0,1
0,12,2,3,0,0,0,2
1,13,6,2,1,0,0,0
0,9,14,1,0,0,0,0
0,12,4,3,0,0,0,0
0,4,6,2,0,2,1,0
1,0,10,2,1,1,1,0
0,9,1,3,0,0,0,1
0,1,1,3,0,1,1,1
1,9,9,3,1,0,2,1
0,9,5,3,1,0,0,0
1,0,10,2,1,0,2,0
0,13,10,1,0,0,0,0
1,9,14,1,1,0,0,1
0,9,7,3,0,0,0,0
1,3,12,1,1,0,2,1
1,11,13,1,1,0,2,0
0,1,11,3,1,4,2,0
0,1,11,3,1,4,2,0
1,10,10,2,0,1,0,0
0,13,14,1,0,1,0,1
0,14,10,1,0,0,0,0
1,2,10,2,1,1,0,0
1,9,7,2,0,0,0,1
0,10,8,3,0,1,1,0
1,0,11,2,0,1,1,0
1,1,14,1,0,0,2,1
0,5,10,2,0,0,0,0
0,9,2,3,0,0,0,2
1,3,0,3,0,0,0,1
1,3,2,3,1,0,0,0
0,14,10,1,0,0,0,0
1,13,11,1,1,1,0,1
0,9,14,1,0,0,0,1
1,12,13,1,1,1,1,0
1,11,8,3,1,1,0,0
0,9,2,3,0,0,0,2
0,12,3,3,0,0,0,0
0,9,7,2,0,0,0,0
0,9,4,3,0,0,0,0
0,9,4,3,1,0,0,0
0,4,9,3,0,2,0,0
0,2,3,3,0,0,0,0
0,9,8,3,1,0,4,0
0,9,1,3,0,0,0,1
1,10,3,3,0,0,0,0
1,14,6,2,0,0,0,0
1,14,12,1,1,2,0,0
1,11,10,1,0,0,0,0
1,9,2,3,1,0,0,2
0,1,4,3,0,0,0,0
0,2,7,3,0,0,0,0
1,11,7,2,1,0,0,0
1,12,12,1,1,1,0,0
0,9,7,3,1,1,0,1
1,10,4,3,0,0,0,0
1,5,11,2,1,1,1,0
1,12,14,1,1,1,1,1
0,14,10,2,0,0,0,0
0,11,12,1,0,0,0,1
0,9,5,3,0,0,0,1
1,2,13,1,1,0,2,0
0,13,7,2,0,0,0,0
1,14,13,1,0,1,1,1
0,3,4,3,0,0,0,0
0,9,4,3,0,0,0,0
0,11,0,3,0,0,0,0
1,14,13,1,1,1,0,1
0,13,1,3,0,0,0,0
0,9,2,3,1,0,2,2
0,11,10,2,0,1,0,0
0,11,9,3,0,1,1,0
1,9,11,2,1,0,0,0
0,13,0,3,0,0,0,0
0,9,0,3,0,0,0,1
1,13,12,1,0,1,0,1
1,4,10,2,1,2,1,0
0,9,3,3,0,0,0,0
0,9,12,1,0,0,0,0
0,13,4,3,0,0,0,0
1,11,10,1,0,0,0,1
0,11,7,3,0,1,0,0
0,9,3,3,0,0,0,0
1,5,11,1,0,0,0,0
1,3,12,2,1,1,2,1
1,12,14,1,1,0,0,0
0,12,11,3,1,1,5,0
0,9,0,3,0,0,0,0
1,9,7,3,1,1,0,2
0,9,2,3,0,0,0,2
0,11,4,3,0,0,0,0
1,4,13,2,1,1,2,0
0,11,7,3,0,1,1,0
0,5,8,3,1,1,0,0
1,0,11,2,1,2,1,0
0,5,6,2,0,0,0,0
0,5,7,3,0,1,0,1
1,12,12,1,0,1,0,0
1,3,8,3,0,1,1,1
0,3,3,3,0,0,0,0
0,3,8,3,0,0,0,0
0,14,11,1,0,0,0,0
0,14,6,2,0,0,0,2
1,3,13,1,1,0,0,0
0,5,3,3,0,0,0,0
0,9,1,3,0,0,0,2
1,15,11,1,0,0,0,0
0,14,0,3,0,0,0,0
1,10,11,1,0,0,0,1
0,9,0,1,0,0,0,0
0,1,10,3,1,3,2,0
1,9,7,2,1,0,0,0
0,10,4,3,0,0,0,0
0,10,10,2,0,1,1,0
0,12,12,3,1,0,5,0
0,9,8,3,0,1,0,0
0,3,3,3,0,0,0,0
1,4,13,1,1,0,0,1
0,0,10,3,1,3,2,0
1,9,12,3,0,0,0,0
1,0,8,3,1,2,1,1
1,13,13,1,0,1,0,1
0,2,3,3,0,0,0,0
1,14,11,1,0,0,0,1
0,9,1,3,0,0,0,0
1,4,1,3,1,0,0,0
0,9,3,3,0,0,0,0
1,2,9,2,1,0,1,0
0,3,4,3,0,0,0,0
1,9,2,3,1,0,0,2
0,2,0,3,1,0,0,2
0,4,13,2,0,2,0,0
0,9,3,3,0,0,0,0
0,10,7,3,1,1,1,2
0,4,7,2,0,0,0,0
0,14,14,1,0,0,2,1
1,13,14,1,0,2,0,0
0,12,0,3,0,0,0,1
0,13,9,1,0,0,0,0
0,11,1,3,0,0,0,0
1,3,4,3,0,1,0,0
0,10,13,2,0,2,0,0
0,5,7,2,0,0,0,0
0,9,2,3,0,0,0,0
0,12,4,3,0,0,0,0
1,9,12,1,1,1,0,0
1,12,11,2,1,1,1,0
0,10,12,1,0,1,0,0
0,14,6,2,0,0,0,0
1,10,7,2,0,0,0,0
0,9,0,2,0,0,0,0
0,2,2,3,0,0,0,0
0,4,4,3,0,0,0,0
1,2,5,3,1,0,0,0
0,12,12,3,1,1,6,0
1,11,15,1,0,0,1,1
0,9,4,3,1,0,0,2
1,5,13,1,0,0,0,1
0,3,5,3,0,0,0,0
0,1,12,3,0,5,2,0
0,14,11,2,0,1,1,0
0,5,12,2,0,1,2,1
0,1,12,3,0,4,1,0
0,2,5,3,0,0,0,0
0,2,2,3,0,0,0,0
1,1,14,1,1,0,1,0
1,10,12,1,0,1,0,0
1,0,7,3,1,0,1,1
1,9,12,3,0,0,0,0
0,5,0,3,0,0,0,1
0,14,10,1,0,0,0,0
0,14,7,2,0,0,0,0
0,13,4,3,0,0,0,0
1,9,1,3,1,0,0,2
0,13,14,1,0,1,1,1
0,12,1,3,0,0,0,0
1,2,14,1,1,1,0,1
1,11,10,1,0,0,0,0
0,2,7,3,1,0,1,1
0,5,1,3,0,0,0,2
0,5,3,3,0,1,0,0
0,12,10,2,0,0,0,0
1,13,7,2,1,0,0,0
1,12,10,1,0,0,0,0
1,3,14,1,1,0,0,0
1,9,7,3,0,1,1,1
1,4,12,1,1,0,0,1
0,9,10,1,0,0,0,0
1,13,12,1,0,1,0,0
0,9,5,3,0,0,0,0
0,14,7,2,0,0,0,0
0,2,1,3,0,0,0,0
1,12,14,1,1,0,0,1
1,5,6,2,1,0,0,0
0,9,7,3,0,0,0,2
0,10,2,3,0,0,0,0
1,0,11,2,1,0,1,0
0,1,0,3,0,1,0,0
0,11,7,2,0,0,0,0
0,13,7,2,0,0,0,0
1,5,12,1,0,1,0,0
0,3,5,3,0,0,0,0
1,9,8,2,1,3,0,0
1,9,1,3,1,0,0,2
0,5,10,2,0,1,0,0
0,5,4,3,1,1,0,0
1,9,14,1,1,0,0,0
0,1,8,3,0,0,0,1
0,9,0,2,0,0,0,0
0,4,7,2,0,0,0,0
0,4,7,2,0,0,0,0
0,9,8,3,0,0,0,0
0,13,11,3,1,1,3,0
1,11,15,1,0,0,0,1
0,9,3,3,0,0,0,0
0,9,3,3,0,0,0,0
1,9,11,1,0,0,0,0
0,11,13,1,0,1,0,0
1,3,14,1,1,2,2,1
0,4,8,3,0,1,0,0
1,10,4,3,0,0,0,0
0,14,13,1,0,1,1,0
0,1,8,3,0,1,1,0
1,9,7,2,1,0,0,0
0,2,12,1,0,1,0,0
0,10,2,3,0,0,0,2
1,0,9,2,1,1,1,0
1,0,6,3,0,0,1,0
0,10,5,3,0,0,0,0
0,4,3,3,0,0,0,0
1,13,13,2,1,1,2,0
1,0,7,2,0,1,1,0
0,9,2,3,0,0,0,0
0,2,6,2,0,0,0,0
0,11,4,3,0,0,0,0
1,10,13,1,1,0,0,0
0,9,7,3,0,0,0,0
0,12,0,3,0,0,0,0
1,3,1,3,0,0,0,1
1,11,14,1,1,1,2,0
0,1,2,3,0,0,0,0
1,14,13,1,1,1,0,0
0,9,11,1,0,0,0,1
0,9,2,3,1,0,0,2
0,9,9,3,0,1,0,2
0,10,4,3,0,0,0,0
0,4,5,3,0,0,0,0
0,13,3,3,0,0,0,0
0,14,6,2,1,0,0,0
0,9,0,3,0,0,0,1
1,14,9,2,1,1,3,0
0,2,2,3,0,0,0,0
0,9,2,3,0,0,0,2
1,0,6,3,1,0,0,0
0,9,1,3,0,0,0,2
1,12,14,1,1,0,1,0
1,1,1,3,1,0,0,1
1,1,12,1,1,1,0,0
0,9,11,1,0,0,0,0
0,9,9,3,0,1,2,0
0,5,0,3,0,0,0,0
0,5,1,3,0,0,0,0
1,2,1,3,1,0,0,0
0,0,10,3,0,4,1,2
1,0,8,3,0,1,2,0
0,13,13,1,0,0,0,1
0,9,2,3,0,0,0,2
0,1,10,2,0,0,0,0
0,9,13,3,1,8,2,0
0,9,11,1,0,0,0,1
0,5,3,3,0,0,0,0
0,12,7,2,0,0,0,0
1,13,9,1,1,0,0,0
1,10,5,3,1,0,0,0
0,9,1,3,0,0,0,1
0,9,9,3,1,1,1,0
0,11,7,2,0,0,0,0
1,10,10,2,1,1,1,0
1,1,14,1,0,1,2,0
1,0,4,3,0,0,1,1
1,5,0,3,0,0,0,0
0,10,2,3,0,0,0,0
0,12,0,1,0,0,0,0
0,2,2,3,1,0,0,0
0,12,7,2,0,0,0,0
1,10,12,1,1,1,0,0
0,5,3,3,0,0,0,0
0,12,9,3,0,0,0,0
0,11,6,2,0,0,0,0
0,0,11,3,1,4,2,0
0,9,4,3,0,0,0,0
0,9,0,1,0,0,0,0
0,4,4,3,1,0,0,0
0,10,11,2,0,1,1,1
0,12,0,3,0,0,0,0
0,1,10,3,0,3,2,0
1,14,14,1,1,1,1,0
1,5,5,3,0,0,0,0
0,12,0,1,0,0,0,0
1,5,6,3,1,0,1,0
0,0,12,3,0,4,1,0
0,9,0,3,0,0,0,2
0,9,12,3,0,0,0,0
1,0,11,2,0,0,2,1
1,9,2,3,0,0,0,2
1,14,13,1,1,0,0,0
1,1,7,3,1,1,0,1
1,0,8,2,0,1,1,0
0,9,1,3,0,0,0,1
0,4,3,3,0,0,0,0
0,2,4,3,0,0,0,0
1,12,13,1,1,1,1,1
0,3,5,3,0,0,0,0
0,9,4,3,0,0,0,0
1,10,12,3,0,0,0,0
1,9,10,1,0,0,0,1
0,3,4,3,0,0,0,0
0,1,6,2,0,0,0,0
1,9,11,1,1,0,0,1
0,11,0,3,0,0,0,1
0,1,5,3,0,0,0,0
0,12,1,3,0,0,0,0
0,9,13,3,0,8,2,0
0,11,3,3,0,0,0,1
0,9,11,2,0,0,1,0
1,9,13,1,1,1,0,1
0,0,11,3,0,4,2,0
0,14,2,3,0,0,0,0
0,1,7,3,1,1,1,1
1,1,11,1,1,0,1,0
0,13,10,2,1,1,0,0
1,2,5,3,1,0,1,0
1,13,14,1,1,1,1,0
1,14,10,1,0,0,0,0
1,4,8,3,1,0,3,1
0,9,1,3,0,0,0,1
0,12,7,3,0,2,0,0
0,3,6,2,0,1,0,0
1,13,9,1,1,0,0,0
0,9,13,3,1,8,2,0
0,4,7,2,0,0,0,0
1,12,7,2,1,0,0,0
1,5,7,2,1,1,0,1
0,10,12,1,0,0,0,0
0,9,5,3,0,0,0,0
1,0,6,3,0,1,1,0
0,5,3,3,0,0,0,0
